Date|Day in Season|Rank|Feast|Commemorations
2025-06-28|Sabbato week XII of Ordinary Time|Feria|Sabbato week XII of Ordinary Time|St. Irenaeus, Bishop and Martyr and Doctor of the Church, The Immaculate Heart of the Blessed Virgin Mary, BVM on Saturday
2025-06-29|Dominica XIII of Ordinary Time|Solemnity|Ss. Peter and Paul, Apostles|
2025-06-30|Feria II week XIII of Ordinary Time|Feria|Feria II week XIII of Ordinary Time|The First Martyrs of Holy Roman Church, Martyrs
2025-07-01|Feria III week XIII of Ordinary Time|Feria|Feria III week XIII of Ordinary Time|
2025-07-02|Feria IV week XIII of Ordinary Time|Feria|Feria IV week XIII of Ordinary Time|
2025-07-03|Feria V week XIII of Ordinary Time|Feast|St. Thomas, Apostle|
2025-07-04|Feria VI week XIII of Ordinary Time|Feria|Feria VI week XIII of Ordinary Time|St. Elizabeth of Portugal
2025-07-05|Sabbato week XIII of Ordinary Time|Feria|Sabbato week XIII of Ordinary Time|St. Anthony Zaccaria, Priest, BVM on Saturday
2025-07-06|Dominica XIV of Ordinary Time|Sunday|Dominica XIV of Ordinary Time|
2025-07-07|Feria II week XIV of Ordinary Time|Feria|Feria II week XIV of Ordinary Time|
2025-07-08|Feria III week XIV of Ordinary Time|Feria|Feria III week XIV of Ordinary Time|
2025-07-09|Feria IV week XIV of Ordinary Time|Feria|Feria IV week XIV of Ordinary Time|St. Augustine Zhao Rong and Companions, Priest and Martyrs
2025-07-10|Feria V week XIV of Ordinary Time|Feria|Feria V week XIV of Ordinary Time|
2025-07-11|Feria VI week XIV of Ordinary Time|Memorial|St. Benedict, Abbot|
2025-07-12|Sabbato week XIV of Ordinary Time|Feria|Sabbato week XIV of Ordinary Time|BVM on Saturday
2025-07-13|Dominica XV of Ordinary Time|Sunday|Dominica XV of Ordinary Time|
2025-07-14|Feria II week XV of Ordinary Time|Feria|Feria II week XV of Ordinary Time|St. Camillus de Lellis, Priest
2025-07-15|Feria III week XV of Ordinary Time|Memorial|St. Bonaventure, Bishop and Doctor of the Church|
2025-07-16|Feria IV week XV of Ordinary Time|Feria|Feria IV week XV of Ordinary Time|Our Lady of Mount Carmel
2025-07-17|Feria V week XV of Ordinary Time|Feria|Feria V week XV of Ordinary Time|
2025-07-18|Feria VI week XV of Ordinary Time|Feria|Feria VI week XV of Ordinary Time|
2025-07-19|Sabbato week XV of Ordinary Time|Feria|Sabbato week XV of Ordinary Time|BVM on Saturday
2025-07-20|Dominica XVI of Ordinary Time|Sunday|Dominica XVI of Ordinary Time|
2025-07-21|Feria II week XVI of Ordinary Time|Feria|Feria II week XVI of Ordinary Time|St. Lawrence of Brindisi, Priest and Doctor of the Church
2025-07-22|Feria III week XVI of Ordinary Time|Feast|St. Mary Magdalene|
2025-07-23|Feria IV week XVI of Ordinary Time|Feria|Feria IV week XVI of Ordinary Time|St. Bridget, Religious
2025-07-24|Feria V week XVI of Ordinary Time|Feria|Feria V week XVI of Ordinary Time|St. Sharbel Makhluf, Priest
2025-07-25|Feria VI week XVI of Ordinary Time|Feast|St. James, Apostle|
2025-07-26|Sabbato week XVI of Ordinary Time|Memorial|Ss. Joachim and Anne, Parents of the Blessed Virgin Mary|
2025-07-27|Dominica XVII of Ordinary Time|Sunday|Dominica XVII of Ordinary Time|
2025-07-28|Feria II week XVII of Ordinary Time|Feria|Feria II week XVII of Ordinary Time|
2025-07-29|Feria III week XVII of Ordinary Time|Memorial|Ss. Martha, Mary and Lazarus|
2025-07-30|Feria IV week XVII of Ordinary Time|Feria|Feria IV week XVII of Ordinary Time|St. Peter Chrysologus, Bishop and Doctor of the Church
2025-07-31|Feria V week XVII of Ordinary Time|Memorial|St. Ignatius of Loyola, Priest|
2025-08-01|Feria VI week XVII of Ordinary Time|Memorial|St. Alphonsus Liguori, Bishop and Doctor of the Church|
2025-08-02|Sabbato week XVII of Ordinary Time|Feria|Sabbato week XVII of Ordinary Time|St. Eusebius of Vercelli, Bishop, St. Peter Julian Eymard, Priest, BVM on Saturday
2025-08-03|Dominica XVIII of Ordinary Time|Sunday|Dominica XVIII of Ordinary Time|
2025-08-04|Feria II week XVIII of Ordinary Time|Memorial|St. Jean Vianney, Priest|
2025-08-05|Feria III week XVIII of Ordinary Time|Feria|Feria III week XVIII of Ordinary Time|The Dedication of the Basilica of St. Mary Major
2025-08-06|Feria IV week XVIII of Ordinary Time|Feast|The Transfiguration of the Lord|
2025-08-07|Feria V week XVIII of Ordinary Time|Feria|Feria V week XVIII of Ordinary Time|St. Sixtus II and Companions, Pope and Martyrs, St. Cajetan, Priest
2025-08-08|Feria VI week XVIII of Ordinary Time|Memorial|St. Dominic, Priest|
2025-08-09|Sabbato week XVIII of Ordinary Time|Feria|Sabbato week XVIII of Ordinary Time|St. Teresa Benedicta of the Cross, Virgin and Martyr, BVM on Saturday
2025-08-10|Dominica XIX of Ordinary Time|Sunday|Dominica XIX of Ordinary Time|
2025-08-11|Feria II week XIX of Ordinary Time|Memorial|St. Clare, Virgin|
2025-08-12|Feria III week XIX of Ordinary Time|Feria|Feria III week XIX of Ordinary Time|St. Jane Frances de Chantal, Religious
2025-08-13|Feria IV week XIX of Ordinary Time|Feria|Feria IV week XIX of Ordinary Time|Ss. Pontian and Hippolytus, Pope and Priest and Martyrs
2025-08-14|Feria V week XIX of Ordinary Time|Memorial|St. Maximilian Kolbe, Priest and Martyr|
2025-08-15|Feria VI week XIX of Ordinary Time|Solemnity|The Assumption of the Blessed Virgin Mary|
2025-08-16|Sabbato week XIX of Ordinary Time|Feria|Sabbato week XIX of Ordinary Time|St. Stephen of Hungary, BVM on Saturday
2025-08-17|Dominica XX of Ordinary Time|Sunday|Dominica XX of Ordinary Time|
2025-08-18|Feria II week XX of Ordinary Time|Feria|Feria II week XX of Ordinary Time|
2025-08-19|Feria III week XX of Ordinary Time|Feria|Feria III week XX of Ordinary Time|St. John Eudes, Priest
2025-08-20|Feria IV week XX of Ordinary Time|Memorial|St. Bernard, Abbot and Doctor of the Church|
2025-08-21|Feria V week XX of Ordinary Time|Memorial|St. Pius X, Pope|
2025-08-22|Feria VI week XX of Ordinary Time|Memorial|The Queenship of the Blessed Virgin Mary|
2025-08-23|Sabbato week XX of Ordinary Time|Feria|Sabbato week XX of Ordinary Time|St. Rose of Lima, Virgin, BVM on Saturday
2025-08-24|Dominica XXI of Ordinary Time|Sunday|Dominica XXI of Ordinary Time|
2025-08-25|Feria II week XXI of Ordinary Time|Feria|Feria II week XXI of Ordinary Time|St. Louis, St. Joseph Calasanz, Priest
2025-08-26|Feria III week XXI of Ordinary Time|Feria|Feria III week XXI of Ordinary Time|
2025-08-27|Feria IV week XXI of Ordinary Time|Memorial|St. Monica|
2025-08-28|Feria V week XXI of Ordinary Time|Memorial|St. Augustine of Hippo, Bishop and Doctor of the Church|
2025-08-29|Feria VI week XXI of Ordinary Time|Memorial|The Passion of St. John the Baptist, Martyr|
2025-08-30|Sabbato week XXI of Ordinary Time|Feria|Sabbato week XXI of Ordinary Time|BVM on Saturday
2025-08-31|Dominica XXII of Ordinary Time|Sunday|Dominica XXII of Ordinary Time|
2025-09-01|Feria II week XXII of Ordinary Time|Feria|Feria II week XXII of Ordinary Time|
2025-09-02|Feria III week XXII of Ordinary Time|Feria|Feria III week XXII of Ordinary Time|
2025-09-03|Feria IV week XXII of Ordinary Time|Memorial|St. Gregory the Great, Pope and Doctor of the Church|
2025-09-04|Feria V week XXII of Ordinary Time|Feria|Feria V week XXII of Ordinary Time|
2025-09-05|Feria VI week XXII of Ordinary Time|Feria|Feria VI week XXII of Ordinary Time|St. Teresa of Calcutta, Virgin
2025-09-06|Sabbato week XXII of Ordinary Time|Feria|Sabbato week XXII of Ordinary Time|BVM on Saturday
2025-09-07|Dominica XXIII of Ordinary Time|Sunday|Dominica XXIII of Ordinary Time|
2025-09-08|Feria II week XXIII of Ordinary Time|Feast|The Nativity of the Blessed Virgin Mary|
2025-09-09|Feria III week XXIII of Ordinary Time|Feria|Feria III week XXIII of Ordinary Time|St. Peter Claver, Priest
2025-09-10|Feria IV week XXIII of Ordinary Time|Feria|Feria IV week XXIII of Ordinary Time|
2025-09-11|Feria V week XXIII of Ordinary Time|Feria|Feria V week XXIII of Ordinary Time|
2025-09-12|Feria VI week XXIII of Ordinary Time|Feria|Feria VI week XXIII of Ordinary Time|The Most Holy Name of Mary
2025-09-13|Sabbato week XXIII of Ordinary Time|Memorial|St. John Chrysostom, Bishop and Doctor of the Church|
2025-09-14|Dominica XXIV of Ordinary Time|Feast|The Exaltation of the Holy Cross|
