Date|Day in Season|Rank|Feast|Commemorations
2023-09-20|Feria IV week XXIV of Ordinary Time|Memorial|Sts. Andrew Kim Tae-gon, Paul Chong Ha-sang, and Companions, Priest and Martyrs|
2023-09-21|Feria V week XXIV of Ordinary Time|Feast|St. Matthew, Apostle and Evangelist|
2023-09-22|Feria VI week XXIV of Ordinary Time|Feria|Feria VI week XXIV of Ordinary Time|
2023-09-23|Sabbato week XXIV of Ordinary Time|Memorial|St. Pius of Pietrelcina, Priest|
2023-09-24|Dominica XXV of Ordinary Time|Sunday|Dominica XXV of Ordinary Time|
2023-09-25|Feria II week XXV of Ordinary Time|Feria|Feria II week XXV of Ordinary Time|
2023-09-26|Feria III week XXV of Ordinary Time|Feria|Feria III week XXV of Ordinary Time|Sts. Cosmas and Damian, Martyrs
2023-09-27|Feria IV week XXV of Ordinary Time|Memorial|St. Vincent de Paul, Priest|
2023-09-28|Feria V week XXV of Ordinary Time|Feria|Feria V week XXV of Ordinary Time|St. Wenceslaus, Martyr, St. Lawrence Ruiz and Companions, Martyrs
2023-09-29|Feria VI week XXV of Ordinary Time|Feast|Sts. Michael, Gabriel and Raphael, Archangels|
2023-09-30|Sabbato week XXV of Ordinary Time|Memorial|St. Jerome, Priest and Doctor of the Church|
2023-10-01|Dominica XXVI of Ordinary Time|Sunday|Dominica XXVI of Ordinary Time|
2023-10-02|Feria II week XXVI of Ordinary Time|Memorial|The Holy Guardian Angels|
2023-10-03|Feria III week XXVI of Ordinary Time|Feria|Feria III week XXVI of Ordinary Time|
2023-10-04|Feria IV week XXVI of Ordinary Time|Memorial|St. Francis of Assisi|
2023-10-05|Feria V week XXVI of Ordinary Time|Feria|Feria V week XXVI of Ordinary Time|St. Faustina Kowalska, Virgin
2023-10-06|Feria VI week XXVI of Ordinary Time|Feria|Feria VI week XXVI of Ordinary Time|St. Bruno, Priest
2023-10-07|Sabbato week XXVI of Ordinary Time|Memorial|Our Lady of the Rosary|
2023-10-08|Dominica XXVII of Ordinary Time|Sunday|Dominica XXVII of Ordinary Time|
2023-10-09|Feria II week XXVII of Ordinary Time|Feria|Feria II week XXVII of Ordinary Time|St. Denis and Companions, Bishop and Martyrs, St. John Leonardi, Priest
2023-10-10|Feria III week XXVII of Ordinary Time|Feria|Feria III week XXVII of Ordinary Time|
2023-10-11|Feria IV week XXVII of Ordinary Time|Feria|Feria IV week XXVII of Ordinary Time|St. John XXIII, Pope
2023-10-12|Feria V week XXVII of Ordinary Time|Feria|Feria V week XXVII of Ordinary Time|
2023-10-13|Feria VI week XXVII of Ordinary Time|Feria|Feria VI week XXVII of Ordinary Time|
2023-10-14|Sabbato week XXVII of Ordinary Time|Feria|Sabbato week XXVII of Ordinary Time|St. Callistus I, Pope and Martyr, BVM on Saturday
2023-10-15|Dominica XXVIII of Ordinary Time|Sunday|Dominica XXVIII of Ordinary Time|
2023-10-16|Feria II week XXVIII of Ordinary Time|Feria|Feria II week XXVIII of Ordinary Time|St. Hedwig, Religious, St. Margaret Mary Alacoque, Virgin
2023-10-17|Feria III week XXVIII of Ordinary Time|Memorial|St. Ignatius of Antioch, Bishop and Martyr|
2023-10-18|Feria IV week XXVIII of Ordinary Time|Feast|St. Luke, Evangelist|
2023-10-19|Feria V week XXVIII of Ordinary Time|Feria|Feria V week XXVIII of Ordinary Time|Sts. John de Brébeuf, Isaac Jogues, and Companions, Priests and Martyrs, St. Paul of the Cross, Priest
2023-10-20|Feria VI week XXVIII of Ordinary Time|Feria|Feria VI week XXVIII of Ordinary Time|
2023-10-21|Sabbato week XXVIII of Ordinary Time|Feria|Sabbato week XXVIII of Ordinary Time|BVM on Saturday
2023-10-22|Dominica XXIX of Ordinary Time|Sunday|Dominica XXIX of Ordinary Time|
2023-10-23|Feria II week XXIX of Ordinary Time|Feria|Feria II week XXIX of Ordinary Time|St. John of Capistrano, Priest
2023-10-24|Feria III week XXIX of Ordinary Time|Feria|Feria III week XXIX of Ordinary Time|St. Anthony Mary Claret, Bishop
2023-10-25|Feria IV week XXIX of Ordinary Time|Feria|Feria IV week XXIX of Ordinary Time|
2023-10-26|Feria V week XXIX of Ordinary Time|Feria|Feria V week XXIX of Ordinary Time|
2023-10-27|Feria VI week XXIX of Ordinary Time|Feria|Feria VI week XXIX of Ordinary Time|
2023-10-28|Sabbato week XXIX of Ordinary Time|Feast|Sts. Simon and Jude, Apostles|
2023-10-29|Dominica XXX of Ordinary Time|Sunday|Dominica XXX of Ordinary Time|
2023-10-30|Feria II week XXX of Ordinary Time|Feria|Feria II week XXX of Ordinary Time|
2023-10-31|Feria III week XXX of Ordinary Time|Feria|Feria III week XXX of Ordinary Time|
2023-11-01|Feria IV week XXX of Ordinary Time|Solemnity|All Saints|
2023-11-02|Feria V week XXX of Ordinary Time|Solemnity|The Commemoration of All the Faithful Departed|
2023-11-03|Feria VI week XXX of Ordinary Time|Feria|Feria VI week XXX of Ordinary Time|St. Martin de Porres, Religious
2023-11-04|Sabbato week XXX of Ordinary Time|Memorial|St. Charles Borromeo, Bishop|
2023-11-05|Dominica XXXI of Ordinary Time|Sunday|Dominica XXXI of Ordinary Time|
2023-11-06|Feria II week XXXI of Ordinary Time|Feria|Feria II week XXXI of Ordinary Time|
2023-11-07|Feria III week XXXI of Ordinary Time|Feria|Feria III week XXXI of Ordinary Time|
2023-11-08|Feria IV week XXXI of Ordinary Time|Feria|Feria IV week XXXI of Ordinary Time|
2023-11-09|Feria V week XXXI of Ordinary Time|Feast|The Dedication of the Lateran Basilica|
2023-11-10|Feria VI week XXXI of Ordinary Time|Memorial|St. Leo the Great, Pope and Doctor of the Church|
2023-11-11|Sabbato week XXXI of Ordinary Time|Memorial|St. Martin of Tours, Bishop|
2023-11-12|Dominica XXXII of Ordinary Time|Sunday|Dominica XXXII of Ordinary Time|
2023-11-13|Feria II week XXXII of Ordinary Time|Feria|Feria II week XXXII of Ordinary Time|
2023-11-14|Feria III week XXXII of Ordinary Time|Feria|Feria III week XXXII of Ordinary Time|
2023-11-15|Feria IV week XXXII of Ordinary Time|Feria|Feria IV week XXXII of Ordinary Time|St. Albert the Great, Bishop and Doctor of the Church
2023-11-16|Feria V week XXXII of Ordinary Time|Feria|Feria V week XXXII of Ordinary Time|St. Margaret of Scotland, St. Gertrude, Virgin
2023-11-17|Feria VI week XXXII of Ordinary Time|Memorial|St. Elizabeth of Hungary, Religious|
2023-11-18|Sabbato week XXXII of Ordinary Time|Feria|Sabbato week XXXII of Ordinary Time|The Dedication of the Basilicas of Sts. Peter and Paul, BVM on Saturday
2023-11-19|Dominica XXXIII of Ordinary Time|Sunday|Dominica XXXIII of Ordinary Time|
2023-11-20|Feria II week XXXIII of Ordinary Time|Feria|Feria II week XXXIII of Ordinary Time|
2023-11-21|Feria III week XXXIII of Ordinary Time|Memorial|The Presentation of the Blessed Virgin Mary|
2023-11-22|Feria IV week XXXIII of Ordinary Time|Memorial|St. Cecilia, Virgin and Martyr|
2023-11-23|Feria V week XXXIII of Ordinary Time|Feria|Feria V week XXXIII of Ordinary Time|St. Clement I, Pope and Martyr, St. Columban, Abbot
2023-11-24|Feria VI week XXXIII of Ordinary Time|Memorial|Sts. Andrew Dung-Lac and Companions, Priest and Martyrs|
2023-11-25|Sabbato week XXXIII of Ordinary Time|Feria|Sabbato week XXXIII of Ordinary Time|St. Catherine of Alexandria, Virgin and Martyr, BVM on Saturday
2023-11-26|Dominica XXXIV of Ordinary Time|Solemnity|Our Lord Jesus Christ, King of the Universe|
2023-11-27|Feria II week XXXIV of Ordinary Time|Feria|Feria II week XXXIV of Ordinary Time|
2023-11-28|Feria III week XXXIV of Ordinary Time|Feria|Feria III week XXXIV of Ordinary Time|
2023-11-29|Feria IV week XXXIV of Ordinary Time|Feria|Feria IV week XXXIV of Ordinary Time|
2023-11-30|Feria V week XXXIV of Ordinary Time|Feast|St. Andrew, Apostle|
2023-12-01|Feria VI week XXXIV of Ordinary Time|Feria|Feria VI week XXXIV of Ordinary Time|
2023-12-02|Sabbato week XXXIV of Ordinary Time|Feria|Sabbato week XXXIV of Ordinary Time|BVM on Saturday
